"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"Kyle","oh right",66,31264,0,5.56271937628391,60.4372806237161,-11.6202297328208
"Kyle","world",599,31264,29,50.4858925211221,548.514107478878,-11.6475414713478
"Kyle","simply",67,31264,0,5.6470030031973,61.3529969968027,-11.7963239224925
"Kyle","apparently",104,31264,1,8.76549719899282,95.2345028010072,-11.8060111841137
"Kyle","next",427,31264,18,35.9891086920186,391.010891307981,-11.851022951747
"Kyle","father",236,31264,7,19.8909359515606,216.109064048439,-11.9150131084281
"Kyle","asked",105,31264,1,8.84978082590622,96.1502191740938,-11.9628773157871
"Kyle","land",68,31264,0,5.73128663011069,62.2687133698893,-11.9724181567224
"Kyle","course",292,31264,10,24.6108190587106,267.389180941289,-11.9938321055716
"Kyle","wonderful",69,31264,0,5.81557025702408,63.1844297429759,-12.1485124342097
"Kyle","little boy",157,31264,3,13.2325294254026,143.767470574597,-12.2722667133716
"Kyle","may",220,31264,6,18.5423979209464,201.457602079054,-12.3103397584853
"Kyle","mark",70,31264,0,5.89985388393748,64.1001461160625,-12.3246067537094
"Kyle","hello",763,31264,39,64.3084073349185,698.691592665082,-12.5126368760252
"Kyle","ohhh",109,31264,1,9.18691533355979,99.8130846664402,-12.5921393493282
"Kyle","child",261,31264,8,21.9980266243955,239.001973375605,-12.6161667541457
"Kyle","kyle kyle",72,31264,0,6.06842113776426,65.9315788622357,-12.6767955140283
"Kyle","afraid",204,31264,5,17.1938598903321,186.806140109668,-12.8157606972192
"Kyle","oh yes",73,31264,0,6.15270476467766,66.8472952353223,-12.852889952611
"Kyle","now im",113,31264,1,9.52404984121336,103.475950158787,-13.2241215465509
"Kyle","welcome",248,31264,7,20.9023394745213,227.097660525479,-13.3235776643047
"Kyle","gerald",77,31264,0,6.48983927233123,70.5101607276688,-13.5572680724035
"Kyle","sell",77,31264,0,6.48983927233123,70.5101607276688,-13.5572680724035
"Kyle","well",4141,31264,285,349.018499048358,3791.98150095164,-13.6093898277425
"Kyle","must",626,31264,29,52.7615504477837,573.238449552216,-13.7824777681738
"Kyle","gettin",79,31264,0,6.65840652615801,72.341593473842,-13.9094573384117
"Kyle","captain",118,31264,1,9.94546797578032,108.05453202422,-14.0176367604525
"Kyle","box",80,31264,0,6.7426901530714,73.2573098469286,-14.0855520199024
"Kyle","id like",80,31264,0,6.7426901530714,73.2573098469286,-14.0855520199024
"Kyle","right",3439,31264,230,289.851392955157,3149.14860704484,-14.4401971249153
"Kyle","oh oh",196,31264,4,16.5195908750249,179.480409124975,-14.5468344557476
"Kyle","sir",525,31264,22,44.2489041295311,480.751095870469,-14.7652704648792
"Kyle","lets get",151,31264,2,12.7268276639223,138.273172336078,-14.8628301932202
"Kyle","little",1717,31264,102,144.714987410295,1572.28501258971,-15.2222123167904
"Kyle","boy",738,31264,35,62.2013166620837,675.798683337916,-15.2311347260136
"Kyle","love",707,31264,33,59.5885242277685,647.411475772231,-15.2513032873988
"Kyle","appears",87,31264,0,7.33267554146515,79.6673244585348,-15.3182156243357
"Kyle","nice",481,31264,19,40.5404245453418,440.459575454658,-15.3188028156845
"Kyle","man",985,31264,51,83.0193725096916,901.980627490308,-15.4628512708116
"Kyle","goin",249,31264,6,20.9866231014347,228.013376898565,-15.9118634684215
"Kyle","oh boy",130,31264,1,10.956871498741,119.043128501259,-15.9363169655003
"Kyle","sexual",91,31264,0,7.66981004911872,83.3301899508813,-16.0225954230467
"Kyle","answer",132,31264,1,11.1254387525678,120.874561247432,-16.2578592690344
"Kyle","will",1705,31264,99,143.703583887334,1561.29641611267,-16.8937813860255
"Kyle","young man",98,31264,0,8.25979543751247,89.7402045624875,-17.2552609821824
"Kyle","colorado",139,31264,1,11.7154241409616,127.284575859038,-17.3868122269208
"Kyle","folks",99,31264,0,8.34407906442586,90.6559209355741,-17.4313561489552
"Kyle","young",303,31264,8,25.5379389547579,277.462061045242,-17.5902004666628
"Kyle","chris",101,31264,0,8.51264631825265,92.4873536817474,-17.7835465433162
"Kyle","sweetie",107,31264,0,9.018348079733,97.981651920267,-18.8401181851356
"Kyle","perhaps",149,31264,1,12.5582604100955,136.441739589905,-19.0083543687675
"Kyle","somethin",109,31264,0,9.18691533355979,99.8130846664402,-19.1923088758204
"Kyle","im afraid",159,31264,1,13.4010966792294,145.598903320771,-20.6389866092957
"Kyle","south",572,31264,21,48.2102345944605,523.789765405539,-20.9060932044935
"Kyle","aint",161,31264,1,13.5696639330562,147.430336066944,-20.9661022231296
"Kyle","hot",219,31264,3,18.458114294033,200.541885705967,-21.176928738598
"Kyle","marsh",221,31264,3,18.6266815478598,202.37331845214,-21.4742019783565
"Kyle","town",476,31264,15,40.1190064107748,435.880993589225,-22.144542084963
"Kyle","south park",527,31264,15,44.4174713833579,482.582528616642,-28.0253386078299
"Kyle","park",666,31264,22,56.1328955243194,609.867104475681,-28.9275579402046
"Kyle","thats right",325,31264,5,27.3921787468526,297.607821253147,-29.4202276059021
"Kyle","tom",248,31264,2,20.9023394745213,227.097660525479,-29.9492274534458
"Kyle","kids",909,31264,34,76.6138168642738,832.386183135726,-32.1285838440781
"Kyle","stanley",241,31264,1,20.3123540861276,220.687645913872,-34.2450239147346
"Kyle","son",641,31264,18,54.0258048514846,586.974195148515,-34.6515714537394
"Kyle","now",4088,31264,234,344.551466821949,3743.44853317805,-43.256401211329
"Kyle","thank",565,31264,11,47.6202492060668,517.379750793933,-43.5354284483308
