"Stan","Kyle","Chef","Mrs..Garrison","Cartman","Jimbo","Gerald","Mr..Mackey","Randy","Kenny","Butters","Stephen","Craig","Sheila","Announcer","Sharon","Wendy","Principal.Victoria","Jesus","Liane","Jimmy","Narrator","Reporter","Satan","Mr..Garrison","Michael","Mayor","All.others","word"
1,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,"attention please"
4,0,0,1,3,0,0,1,1,0,1,0,0,0,3,0,1,0,2,0,20,0,0,0,0,0,0,22,"audience"
10,1,0,0,4,0,0,0,3,0,6,0,0,0,0,8,0,0,0,1,0,0,0,0,2,0,0,14,"aunt"
1,2,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,13,"available"
0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,11,"average"
10,6,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,"aw come"
3,5,1,0,25,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"aw man"
3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,6,0,2,22,"award"
1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,9,"aware"
2,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,10,"awareness"
70,54,8,0,116,9,4,9,25,2,22,4,3,9,2,9,10,5,6,6,5,5,1,1,3,1,0,256,"away"
1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,"away oh"
30,34,0,0,90,0,0,0,11,11,4,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,46,"awesome"
0,1,0,0,3,1,0,0,1,0,9,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,0,8,"awful"
3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,"awgh"
9,8,1,0,19,0,0,0,5,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,25,"aww"
13,4,3,0,13,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,"awww"
1,18,1,1,13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,23,"babies"
16,17,20,11,25,0,1,2,5,1,8,0,0,8,0,12,0,0,0,10,1,2,1,0,5,0,1,111,"baby"
176,120,23,14,260,8,16,20,77,3,60,19,3,9,34,22,11,4,16,8,8,11,6,3,26,6,8,645,"back"
3,1,1,0,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8,"back dont"
5,2,0,0,3,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,12,"back home"
3,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,"back normal"
0,4,1,1,7,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,"back now"
4,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,7,"back oh"
1,3,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"back school"
3,2,1,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"back well"
1,1,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,5,"backyard"
60,41,16,2,96,5,1,44,12,2,21,3,2,6,3,5,2,3,2,6,4,2,1,1,7,1,0,186,"bad"
4,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,"bad idea"
1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"bad oh"
5,3,2,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,"bag"
5,4,0,0,8,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,"bail"
