"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL","direction","ngram"
"CARTMAN","today",188,28206,21,30.7816728488585,157.218327151142,4.09901474498876,"LOW",1
"CARTMAN","absolutely",26,28206,1,4.25703986207617,21.7429601379238,4.08214147592387,"LOW",1
"CARTMAN","burn",26,28206,1,4.25703986207617,21.7429601379238,4.08214147592387,"LOW",1
"CARTMAN","choksondik",26,28206,1,4.25703986207617,21.7429601379238,4.08214147592387,"LOW",1
"CARTMAN","prison",26,28206,1,4.25703986207617,21.7429601379238,4.08214147592387,"LOW",1
"CARTMAN","short",26,28206,1,4.25703986207617,21.7429601379238,4.08214147592387,"LOW",1
"CARTMAN","penis",72,28206,6,11.7887257719032,60.2112742280968,4.01234690819701,"LOW",1
"CARTMAN","daughter",36,28206,2,5.89436288595162,30.1056371140484,3.94867309617944,"LOW",1
"CARTMAN","havin",36,28206,2,5.89436288595162,30.1056371140484,3.94867309617944,"LOW",1
"CARTMAN","using",36,28206,2,5.89436288595162,30.1056371140484,3.94867309617944,"LOW",1
"CARTMAN","answer",63,28206,5,10.3151350504153,52.6848649495847,3.90757224082576,"LOW",1
"CARTMAN","dare",54,28206,4,8.84154432892743,45.1584556710726,3.83920877141447,"LOW",1
"CARTMAN","giant",54,28206,4,8.84154432892743,45.1584556710726,3.83920877141447,"LOW",1
"CARTMAN","support",45,28206,3,7.36795360743953,37.6320463925605,3.83317890721429,"LOW",1
"CARTMAN","base",25,28206,1,4.09330755968863,20.9066924403114,3.80454981352342,"LOW",1
"CARTMAN","curse",25,28206,1,4.09330755968863,20.9066924403114,3.80454981352342,"LOW",1
"CARTMAN","mission",25,28206,1,4.09330755968863,20.9066924403114,3.80454981352342,"LOW",1
"CARTMAN","romania",25,28206,1,4.09330755968863,20.9066924403114,3.80454981352342,"LOW",1
"CARTMAN","seem",62,28206,5,10.1514027480278,51.8485972519722,3.71672632092279,"LOW",1
"CARTMAN","wow",361,28206,46,59.1073611619038,301.892638838096,3.71005181580852,"LOW",1
"CARTMAN","audience",35,28206,2,5.73063058356408,29.2693694164359,3.70704273425031,"LOW",1
"CARTMAN","public",35,28206,2,5.73063058356408,29.2693694164359,3.70704273425031,"LOW",1
"CARTMAN","turn",110,28206,11,18.01055326263,91.98944673737,3.69492850562815,"LOW",1
"CARTMAN","history",53,28206,4,8.67781202653989,44.3221879734601,3.63701862645916,"LOW",1
"CARTMAN","mark",53,28206,4,8.67781202653989,44.3221879734601,3.63701862645916,"LOW",1
"CARTMAN","ago",86,28206,8,14.0809780053289,71.9190219946711,3.61608120524096,"LOW",1
